Test set,1_PCs_lr,2_PCs_lr,3_PCs_lr,4_PCs_lr,5_PCs_lr,6_PCs_lr,7_PCs_lr,1_PCs_ridge_a1,2_PCs_ridge_a1,3_PCs_ridge_a1,4_PCs_ridge_a1,5_PCs_ridge_a1,6_PCs_ridge_a1,7_PCs_ridge_a1,1_PCs_lasso_a1,2_PCs_lasso_a1,3_PCs_lasso_a1,4_PCs_lasso_a1,5_PCs_lasso_a1,6_PCs_lasso_a1,7_PCs_lasso_a1,1_PCs_svr,2_PCs_svr,3_PCs_svr,4_PCs_svr,5_PCs_svr,6_PCs_svr,7_PCs_svr,noSelection_lr,v10_lr,v10_mi10_lr,v10_f10_lr,v10_mi20_lr,v10_f20_lr,v20_lr,v20_mi10_lr,v20_f10_lr,v20_mi20_lr,v20_f20_lr,noSelection_svr,v10_svr,v10_mi10_svr,v10_f10_svr,v10_mi20_svr,v10_f20_svr,v20_svr,v20_mi10_svr,v20_f10_svr,v20_mi20_svr,v20_f20_svr,v50_lr,v50_mi10_lr,v50_f10_lr,v50_mi20_lr,v50_f20_lr,v90_lr,v90_mi10_lr,v90_f10_lr,v90_mi20_lr,v90_f20_lr,v50_lasso_a0.05,v50_mi10_lasso_a0.05,v50_f10_lasso_a0.05,v50_mi20_lasso_a0.05,v50_f20_lasso_a0.05,v90_lasso_a0.05,v90_mi10_lasso_a0.05,v90_f10_lasso_a0.05,v90_mi20_lasso_a0.05,v90_f20_lasso_a0.05,v50_ridge_a0.05,v50_mi10_ridge_a0.05,v50_f10_ridge_a0.05,v50_mi20_ridge_a0.05,v50_f20_ridge_a0.05,v90_ridge_a0.05,v90_mi10_ridge_a0.05,v90_f10_ridge_a0.05,v90_mi20_ridge_a0.05,v90_f20_ridge_a0.05,v20_mi15_lr,v20_mi30_lr,v20_mi15_lasso_a1,v20_mi20_lasso_a1,v20_mi30_lasso_a1,v20_mi15_lasso_a0.1,v20_mi20_lasso_a0.1,v20_mi30_lasso_a0.1,v20_mi15_lasso_a0.05,v20_mi20_lasso_a0.05,v20_mi30_lasso_a0.05,v20_mi15_lasso_a0.001,v20_mi20_lasso_a0.001,v20_mi30_lasso_a0.001,v20_mi15_ridge_a1,v20_mi20_ridge_a1,v20_mi30_ridge_a1,v20_mi15_ridge_a0.1,v20_mi20_ridge_a0.1,v20_mi30_ridge_a0.1,v20_mi15_ridge_a0.05,v20_mi20_ridge_a0.05,v20_mi30_ridge_a0.05,v20_mi15_ridge_a0.001,v20_mi20_ridge_a0.001,v20_mi30_ridge_a0.001
Acetate,0.5453,0.081,0.0989,0.134,0.0979,0.0831,0.0831,0.5453,0.081,0.0989,0.134,0.098,0.0831,0.0831,0.5432,0.0923,0.1084,0.1409,0.1083,0.1044,0.1044,0.5359,0.455,0.4465,0.417,0.4656,0.4758,0.4758,0.0658,0.0553,0.057,0.2316,0.1679,0.1484,0.0494,0.1043,0.1846,0.001,0.2089,0.4682,0.4671,0.4383,0.2391,0.4158,0.2387,0.4625,0.3812,0.2345,0.3453,0.2205,0.003,0.108,0.7086,0.5506,0.256,0.2297,0.3361,0.3574,0.3362,0.1018,0.1273,0.0788,0.1415,0.4796,0.19,0.0352,0.0506,0.0584,0.1233,0.008,0.003,0.0901,0.197,0.5268,0.1328,0.2299,0.2604,0.1956,0.3309,0.1367,0.2168,0.1331,0.2285,0.2285,0.2285,0.0257,0.0258,0.0002,0.0305,0.0372,0.0066,0.0258,0.0477,0.3528,0.1452,0.0548,0.1532,0.1633,0.008,0.1359,0.1816,0.0037,0.1345,0.2158,0.0009,0.1332
Fructose,0.3443,0.37,0.3604,0.3528,0.3949,0.3794,0.3794,0.3443,0.3699,0.3603,0.3527,0.3948,0.3793,0.3793,0.3433,0.3613,0.3528,0.3477,0.385,0.3745,0.3745,0.3665,0.0735,0.1269,0.1979,0.2415,0.2614,0.2614,0.3693,0.3648,0.5845,0.2766,0.0548,0.3931,0.3926,0.1852,0.2766,0.3118,0.4345,0.395,0.3935,0.0806,0.1025,0.142,0.0618,0.3843,0.0399,0.1025,0.0985,0.0238,0.2019,0.138,0.4177,0.2469,0.4329,0.0216,1.5831,0.4485,0.534,0.2741,0.1327,0.267,0.2627,0.2571,0.5154,0.0976,0.0771,0.0865,0.1812,0.0246,0.2019,0.2353,0.4023,0.2593,0.4228,0.0215,0.2835,0.0384,0.465,0.2599,0.322,0.178,0.0997,0.0997,0.0172,0.3701,0.4971,0.2828,0.2589,0.4703,0.3029,1.2581,0.5362,0.249,0.2183,0.2494,0.1888,0.254,0.288,0.1778,0.2791,0.2983,0.1778,0.3208,0.3115,0.178
Galactose,13.9647,5.7671,5.1077,5.8616,5.0581,5.4146,5.4146,13.9646,5.7681,5.1089,5.8625,5.0593,5.4157,5.4157,13.9402,6.0316,5.4206,6.0941,5.3593,5.4523,5.4523,13.1283,12.2506,11.2005,11.4018,10.9707,10.476,10.4765,5.8644,5.651,4.7183,1.2063,1.9838,4.6174,6.1714,4.9629,2.6664,0.517,0.5823,12.1151,12.1428,10.28,10.7245,11.2903,9.3124,12.2878,9.7346,8.0534,10.1032,8.825,5.4571,18.1491,1.8671,9.6021,3.8116,17.0614,2.91,26.8067,11.6095,12.3148,5.0195,8.3949,4.5396,4.3701,3.8282,17.7971,10.1372,25.6675,16.6002,16.799,5.4576,10.0101,1.1711,9.358,3.445,17.0611,9.0236,21.5869,11.6183,12.3217,0.3135,2.3887,6.7727,6.7726,6.7862,0.0436,0.0493,4.2668,0.7798,0.9208,4.4599,0.3571,1.0518,0.8374,1.8305,2.1357,3.0663,0.0779,0.8766,2.4737,0.1044,0.7138,2.4318,0.309,0.5213,2.3896
Glucose,0.6498,0.2283,0.3624,0.5059,0.4892,0.4676,0.4676,0.6498,0.2282,0.3623,0.5057,0.489,0.4675,0.4675,0.6449,0.2151,0.3378,0.4724,0.4621,0.4487,0.4487,0.2356,0.1277,0.1336,0.0392,0.0414,0.0571,0.057,0.4344,0.4486,0.7232,0.5777,0.2473,0.2535,0.4549,0.7232,0.5777,0.4618,0.6269,0.2517,0.242,0.1897,0.1541,0.1372,0.1103,0.2172,0.1897,0.1541,0.1612,0.089,0.3895,0.929,0.8169,0.6569,0.599,0.1703,2.3343,0.4588,1.5154,1.1878,0.5192,0.8659,0.834,0.7757,0.7672,0.9306,0.9725,0.9633,0.9196,0.9215,0.3894,0.7621,0.7756,0.6483,0.5911,0.1705,1.4962,0.9014,1.2336,0.8965,0.3771,0.4151,0.0095,0.006,0.0061,0.0655,0.0655,0.0655,0.0702,0.0698,0.0784,0.1755,0.09,0.2375,0.1274,0.2063,0.3062,0.3124,0.3833,0.3925,0.3404,0.4171,0.403,0.3762,0.4608,0.4149
Glycerol,0.5976,0.339,0.2397,0.2416,0.1927,0.1702,0.1702,0.5976,0.3389,0.2396,0.2415,0.1926,0.1702,0.1702,0.5967,0.3275,0.241,0.2427,0.2003,0.1801,0.1801,0.9364,0.2823,0.1772,0.215,0.2402,0.2085,0.2085,0.4196,0.4244,1.558,0.3208,0.0344,0.7006,0.4402,0.4908,0.5559,0.02,0.9069,0.6055,0.6075,0.2305,0.0425,0.1446,0.0706,0.6172,0.184,0.0752,0.1631,0.0563,0.0639,0.3878,0.1789,0.2238,0.0335,0.3935,0.0253,0.0236,0.309,0.446,0.4103,0.4622,0.2293,0.3574,0.3654,0.0977,0.0318,0.04,0.1061,0.0437,0.064,0.3604,0.1649,0.2152,0.0336,0.3936,0.0226,0.0186,0.3014,0.4395,0.0085,0.0392,0.0995,0.0995,0.0995,0.0221,0.023,0.1384,0.0019,0.0255,0.2411,0.0395,0.0228,0.1741,0.0302,0.0308,0.0746,0.004,0.0082,0.045,0.0069,0.0136,0.0422,0.0085,0.0198,0.0393
Gluconate,19.0969,10.5903,9.2165,9.7616,10.634,10.6486,10.6486,19.0967,10.591,9.2176,9.7625,10.6346,10.6492,10.6492,19.0374,10.6882,9.4538,9.9282,10.7193,10.7193,10.7193,13.296,11.4435,10.7129,10.6205,10.6551,10.7709,10.771,7.8996,7.8492,3.0063,4.4831,6.3666,4.0004,6.8462,2.0027,4.2322,5.0734,6.023,15.301,15.3227,11.6018,8.9894,10.2748,9.5032,15.3587,9.8479,8.7341,9.5658,9.542,3.9243,4.1975,7.5734,7.6151,9.6928,17.2979,21.3842,53.5156,17.8767,11.3482,8.4519,4.8182,6.7376,8.4952,13.6054,18.6207,15.1378,27.9136,15.0456,18.5353,3.9247,4.7302,6.7278,7.5854,9.6029,17.2989,16.7457,33.7308,15.4543,11.6798,5.9273,4.3525,9.9392,9.6371,9.6374,4.9305,4.0652,4.0645,4.784,3.7361,3.738,6.6817,6.0611,2.1371,6.5242,5.8221,5.0014,6.0118,5.2035,4.4359,5.9705,5.1416,4.3949,5.9282,5.0748,4.3533
Pyruvate,0.7137,0.4359,0.4322,0.4354,0.4557,0.4539,0.4539,0.7137,0.436,0.4323,0.4355,0.4557,0.454,0.454,0.7137,0.4424,0.439,0.4417,0.4592,0.4586,0.4586,0.727,0.4888,0.5047,0.5358,0.5706,0.5789,0.579,0.4355,0.4357,0.2855,0.4658,0.4841,0.5127,0.4696,0.4874,0.4658,0.4485,0.4899,0.6868,0.6855,0.668,0.4938,0.681,0.541,0.682,0.6315,0.4938,0.6008,0.5087,0.5536,0.4134,0.4375,0.4637,0.45,0.8029,0.5086,0.5612,0.5089,0.5102,0.483,0.4575,0.4551,0.4456,0.4506,0.527,0.5392,0.509,0.561,0.5213,0.5536,0.4407,0.4412,0.4642,0.4463,0.8028,0.558,0.5429,0.518,0.5137,0.4499,0.4407,0.6377,0.6377,0.6377,0.4939,0.4934,0.4934,0.4832,0.4831,0.4831,0.4889,0.4864,0.5061,0.4486,0.4546,0.442,0.4468,0.4496,0.4407,0.4477,0.4491,0.4407,0.4499,0.4485,0.4407
Succinate,0.243,0.224,0.2104,0.2014,0.004,0.0274,0.0274,0.243,0.2239,0.2103,0.2013,0.0039,0.0274,0.0274,0.2387,0.2223,0.21,0.2021,0.0153,0.0153,0.0153,0.0135,0.1298,0.1081,0.1125,0.0986,0.1226,0.1226,0.0163,0.0194,0.6964,0.0458,0.3702,0.0248,0.0926,0.1321,0.0909,0.3438,0.0729,0.1388,0.1341,0.1671,0.1034,0.0953,0.0651,0.1274,0.0961,0.1241,0.1152,0.0358,0.3469,1.2593,0.1106,0.8526,0.0585,0.1317,0.1621,0.1741,0.2878,0.2678,0.2927,0.5729,0.1,0.3562,0.1147,0.2199,0.5614,0.254,0.3304,0.2295,0.3469,0.9624,0.0966,0.7967,0.0681,0.1317,0.3166,0.1761,0.2863,0.2524,0.155,0.5866,0.0186,0.0186,0.0823,0.1793,0.1539,0.3982,0.1974,0.1669,0.4199,0.1436,0.3708,1.2384,0.2442,0.2819,0.4457,0.1884,0.3217,0.5538,0.1747,0.3311,0.5689,0.1555,0.3435,0.5862
