Test set,1_PCs_lr,2_PCs_lr,3_PCs_lr,4_PCs_lr,5_PCs_lr,6_PCs_lr,7_PCs_lr,1_PCs_ridge_a1,2_PCs_ridge_a1,3_PCs_ridge_a1,4_PCs_ridge_a1,5_PCs_ridge_a1,6_PCs_ridge_a1,7_PCs_ridge_a1,1_PCs_lasso_a1,2_PCs_lasso_a1,3_PCs_lasso_a1,4_PCs_lasso_a1,5_PCs_lasso_a1,6_PCs_lasso_a1,7_PCs_lasso_a1,1_PCs_svr,2_PCs_svr,3_PCs_svr,4_PCs_svr,5_PCs_svr,6_PCs_svr,7_PCs_svr,noSelection_lr,v10_lr,v10_mi10_lr,v10_f10_lr,v10_mi20_lr,v10_f20_lr,v20_lr,v20_mi10_lr,v20_f10_lr,v20_mi20_lr,v20_f20_lr,noSelection_svr,v10_svr,v10_mi10_svr,v10_f10_svr,v10_mi20_svr,v10_f20_svr,v20_svr,v20_mi10_svr,v20_f10_svr,v20_mi20_svr,v20_f20_svr,v50_lr,v50_mi10_lr,v50_f10_lr,v50_mi20_lr,v50_f20_lr,v90_lr,v90_mi10_lr,v90_f10_lr,v90_mi20_lr,v90_f20_lr,v50_lasso_a0.05,v50_mi10_lasso_a0.05,v50_f10_lasso_a0.05,v50_mi20_lasso_a0.05,v50_f20_lasso_a0.05,v90_lasso_a0.05,v90_mi10_lasso_a0.05,v90_f10_lasso_a0.05,v90_mi20_lasso_a0.05,v90_f20_lasso_a0.05,v50_ridge_a0.05,v50_mi10_ridge_a0.05,v50_f10_ridge_a0.05,v50_mi20_ridge_a0.05,v50_f20_ridge_a0.05,v90_ridge_a0.05,v90_mi10_ridge_a0.05,v90_f10_ridge_a0.05,v90_mi20_ridge_a0.05,v90_f20_ridge_a0.05,v10_f15_lr,v10_f5_lr,v10_f15_lasso_a1,v10_f10_lasso_a1,v10_f5_lasso_a1,v10_f15_lasso_a0.1,v10_f10_lasso_a0.1,v10_f5_lasso_a0.1,v10_f15_lasso_a0.05,v10_f10_lasso_a0.05,v10_f5_lasso_a0.05,v10_f15_lasso_a0.001,v10_f10_lasso_a0.001,v10_f5_lasso_a0.001,v10_f15_ridge_a1,v10_f10_ridge_a1,v10_f5_ridge_a1,v10_f15_ridge_a0.1,v10_f10_ridge_a0.1,v10_f5_ridge_a0.1,v10_f15_ridge_a0.05,v10_f10_ridge_a0.05,v10_f5_ridge_a0.05,v10_f15_ridge_a0.001,v10_f10_ridge_a0.001,v10_f5_ridge_a0.001
Acetate,0.0273,0.1787,0.1808,0.1445,0.1439,0.1433,0.1433,0.0273,0.1787,0.1808,0.1445,0.1439,0.1433,0.1433,0.0221,0.1411,0.1411,0.1109,0.1109,0.1109,0.1109,0.0209,0.0653,0.0929,0.0034,0.0079,0.0047,0.0047,0.2202,0.213,0.3442,0.1585,0.0935,0.0287,0.2573,0.3107,0.1021,0.0064,0.1258,0.1381,0.1367,0.1631,0.0901,0.1351,0.0239,0.1257,0.173,0.1564,0.1307,0.0574,0.191,2.7452,0.6084,0.1821,0.4771,0.1326,0.3287,0.1216,0.5361,0.749,0.3699,0.6037,0.3432,0.076,0.0761,0.1181,0.1557,0.1154,0.2767,0.2758,0.191,1.2874,0.471,0.1768,0.4365,0.1325,0.3298,0.071,0.5003,0.5848,0.3063,0.1825,0.1435,0.1435,0.1435,0.0708,0.0099,0.0157,0.1077,0.0294,0.0043,0.1516,0.1004,0.1273,0.0678,0.1394,0.1961,0.1237,0.0031,0.0637,0.188,0.0479,0.0083,0.3029,0.1546,0.1767
Fructose,0.4842,0.2912,0.2914,0.2803,0.2773,0.2728,0.2728,0.4842,0.2913,0.2914,0.2803,0.2773,0.2729,0.2729,0.4852,0.3029,0.3029,0.2946,0.2946,0.2946,0.2946,0.4816,0.348,0.3485,0.3693,0.3664,0.3607,0.3607,0.2988,0.3026,0.3044,0.1854,0.1572,0.2383,0.328,0.2884,0.1791,0.1593,0.2146,0.4939,0.4939,0.4166,0.4498,0.4509,0.4324,0.4935,0.3989,0.4476,0.4434,0.4727,0.2991,0.1973,0.301,0.3777,0.3984,0.3342,0.1343,0.038,0.2817,0.0399,0.3475,0.3671,0.3428,0.3705,0.375,0.4063,0.4027,0.4169,0.4174,0.4093,0.2991,0.2308,0.3036,0.3765,0.397,0.3342,0.3642,0.2759,0.3476,0.2073,0.2506,0.8901,0.4992,0.4992,0.4992,0.2728,0.2726,0.3497,0.2609,0.2533,0.3473,0.1966,0.1606,0.582,0.255,0.2142,0.2916,0.2511,0.2027,0.3747,0.2509,0.198,0.4377,0.2506,0.1858,0.8496
Galactose,4.9735,1.8162,1.8642,1.5328,1.5385,1.4412,1.4412,4.9735,1.8166,1.8646,1.5334,1.539,1.4418,1.4418,4.9582,1.9816,1.9992,1.7182,1.7182,1.7182,1.7182,5.6554,3.5389,3.5196,3.4764,3.4008,3.4506,3.4511,1.1884,1.2184,1.457,0.1153,1.6348,1.8567,1.2221,3.3513,3.0162,1.7573,2.4704,4.8654,4.8652,4.4735,4.9439,4.6155,4.5707,4.8491,4.5008,4.5049,4.3468,4.3201,1.0622,5.3364,3.1365,2.6545,2.1153,2.7334,5.0199,5.1155,5.2058,6.2666,1.8305,2.5444,3.4431,2.433,1.6235,4.3832,4.2507,4.5695,4.3307,4.2575,1.0625,4.8052,3.3917,2.6524,2.1232,2.7341,4.3056,4.3063,4.9955,4.6772,1.6726,2.282,4.9047,4.9047,4.9047,0.4562,0.4562,0.7683,0.2459,0.2445,0.4272,0.56,0.1067,0.3331,1.8128,1.1547,1.2862,1.6996,0.4844,0.551,1.6869,0.3356,0.4872,1.6729,0.1208,1.8763
Glucose,0.078,0.0898,0.1041,0.0578,0.0654,0.0668,0.0668,0.078,0.0898,0.1041,0.0578,0.0654,0.0668,0.0668,0.0823,0.0823,0.0866,0.0481,0.0501,0.0501,0.0501,0.1038,0.1737,0.2024,0.1691,0.1909,0.1941,0.1941,0.0467,0.0492,0.194,0.1283,0.1298,0.1587,0.0599,0.0436,0.0261,0.0892,0.153,0.2139,0.2136,0.2009,0.2001,0.1623,0.1553,0.2129,0.1374,0.1052,0.1434,0.1263,0.1224,0.1085,0.1121,0.0423,0.0283,0.1034,0.5827,0.1296,0.4023,0.2507,0.0304,0.03,0.0023,0.0561,0.0304,0.3504,0.3508,0.1856,0.3458,0.1857,0.1224,0.0982,0.1037,0.0424,0.0293,0.1034,0.3985,0.1882,0.3991,0.2145,0.1499,0.0184,0.2126,0.2126,0.2126,0.0973,0.0973,0.0704,0.127,0.127,0.0677,0.2861,0.2433,0.0651,0.1192,0.1706,0.1008,0.1419,0.1773,0.0874,0.1453,0.1721,0.0765,0.1498,0.131,0.0104
Glycerol,0.4915,0.1106,0.1104,0.112,0.0922,0.0916,0.0916,0.4915,0.1107,0.1105,0.112,0.0923,0.0917,0.0917,0.4927,0.1285,0.1285,0.1298,0.1188,0.1188,0.1188,0.7389,0.1077,0.163,0.2627,0.2928,0.3472,0.3472,0.2031,0.2035,0.2532,0.2091,0.7967,0.0285,0.2119,0.2532,0.0241,0.8404,0.0773,0.5054,0.505,0.2072,0.2834,0.5443,0.2877,0.4974,0.2072,0.3135,0.5513,0.3531,0.0607,0.6039,0.1069,0.3784,0.0688,0.5847,0.2761,1.1844,0.404,0.3754,0.1763,0.3819,0.2508,0.35,0.16,0.1653,0.1472,0.2078,0.1472,0.2078,0.0607,0.5776,0.1166,0.375,0.0764,0.5847,0.2924,0.2,0.4062,0.3686,0.0684,0.2438,0.5152,0.5152,0.5152,0.0617,0.0699,0.0752,0.0259,0.0251,0.0478,0.0611,0.2197,0.0209,0.0371,0.0069,0.0155,0.041,0.1529,0.0078,0.0533,0.1778,0.0182,0.068,0.2084,0.1853
Gluconate,0.207,0.0943,0.1254,0.0926,0.0718,0.0698,0.0698,0.207,0.0943,0.1254,0.0926,0.0718,0.0698,0.0698,0.2014,0.1035,0.1215,0.0954,0.0822,0.0822,0.0822,0.0951,0.1256,0.1131,0.0951,0.0824,0.0878,0.0878,0.0216,0.0256,0.0513,0.1915,0.0069,0.07,0.0282,0.1095,0.0622,0.0653,0.0309,0.0265,0.0268,0.0012,0.0208,0.004,0.028,0.0225,0.0114,0.0056,0.0378,0.0166,0.3047,0.008,0.2832,0.151,0.0016,0.2728,0.4971,0.4474,0.4216,0.5453,0.1367,0.0252,0.1222,0.1634,0.1367,0.192,0.3082,0.3323,0.331,0.3321,0.3047,0.0023,0.195,0.1497,0.0,0.2728,0.4224,0.3774,0.3982,0.429,0.1465,0.0208,0.0315,0.0315,0.0315,0.073,0.073,0.0298,0.052,0.0824,0.0203,0.091,0.0826,0.0201,0.0491,0.0496,0.0239,0.0802,0.0552,0.0185,0.1078,0.0763,0.0172,0.1455,0.1849,0.0204
Pyruvate,0.2227,0.253,0.2534,0.2555,0.2496,0.2485,0.2485,0.2227,0.2529,0.2533,0.2554,0.2495,0.2484,0.2484,0.2228,0.2334,0.2334,0.2339,0.2339,0.2339,0.2339,0.3879,0.1551,0.1421,0.0686,0.0714,0.0622,0.0621,0.29,0.2822,1.5065,0.0621,0.5536,0.3378,0.2513,0.4372,0.1835,0.3781,0.3651,0.2203,0.2189,0.0116,0.1632,0.063,0.1482,0.217,0.0054,0.0325,0.1033,0.0427,0.1458,0.0518,0.2036,0.0248,0.0756,0.0953,0.3533,0.232,0.0543,0.0619,0.2283,0.0064,0.0602,0.1097,0.1602,0.2339,0.1176,0.2115,0.1286,0.2115,0.1458,0.0559,0.1989,0.0267,0.0754,0.0953,0.1418,0.1925,0.0942,0.1092,0.2663,0.9886,0.2261,0.2261,0.2261,0.3187,0.0891,0.1159,0.3373,0.0205,0.0893,0.1513,0.2858,0.0614,0.3763,0.3515,0.0846,0.3137,0.2621,0.0624,0.2946,0.1962,0.0529,0.267,0.0593,0.6437
Succinate,0.1111,0.0323,0.0412,0.0441,0.0444,0.043,0.043,0.1111,0.0323,0.0412,0.044,0.0444,0.043,0.043,0.1061,0.0304,0.0378,0.0393,0.0393,0.0393,0.0393,0.1885,0.0414,0.0241,0.045,0.0344,0.0786,0.0786,0.0358,0.0367,0.2335,0.277,0.144,0.0721,0.0293,0.2084,0.0659,0.1775,0.127,0.0234,0.0243,0.0027,0.0057,0.0175,0.0121,0.0262,0.081,0.0436,0.0148,0.0248,0.0323,0.0662,0.0399,0.1329,0.122,0.1221,0.712,0.6588,0.7183,0.3241,0.1648,0.177,0.2006,0.1777,0.1993,0.1384,0.1725,0.0883,0.176,0.0883,0.0323,0.0649,0.0484,0.1335,0.1219,0.1221,0.6821,0.2407,0.6853,0.2521,0.0786,0.1468,0.0108,0.0108,0.0108,0.0045,0.0058,0.0044,0.0105,0.008,0.0059,0.0108,0.1504,0.0095,0.028,0.0938,0.0078,0.0465,0.0978,0.0002,0.0603,0.1642,0.0088,0.0782,0.274,0.1299
